income_2023,income
1,"Less than $10,000"
2,"$10,000 - $19,999"
3,"$20,000 - $29,999"
4,"$30,000 - $39,99"
5,"$40,000 - $49,999"
6,"$50,000 - $59,999"
7,"$60,000 - $69,999"
8,"$70,000 - $79,999"
9,"$80,000 - $89,999"
10,"$90,000 - $99,999"
11,"$100,000 - $149,999"
12,"$150,000 or more"
